iter	Passed	Remaining
960	1046119	42454
961	1047228	41366
962	1048294	40277
963	1049391	39188
964	1050467	38099
965	1051550	37011
966	1052584	35920
967	1053711	34833
968	1054801	33744
969	1055909	32656
970	1056988	31568
971	1058081	30479
972	1059260	29393
973	1060366	28305
974	1061516	27218
975	1062647	26130
976	1063732	25041
977	1064808	23952
978	1065869	22863
979	1066976	21775
980	1068070	20686
981	1069119	19596
982	1070219	18508
983	1071282	17419
984	1072398	16330
985	1073482	15242
986	1074731	14155
987	1075844	13066
988	1076954	11978
989	1078021	10889
990	1079092	9800
991	1080160	8710
992	1081242	7622
993	1082300	6532
994	1083374	5444
995	1084475	4355
996	1085550	3266
997	1086621	2177
998	1087731	1088
999	1088812	0
